workload,policy,l1_hit_rate,l2_hit_rate,l3_hit_rate,amat
matrix,lru,74.78,92.63,98.03,7.77
matrix,fifo,74.37,92.30,98.15,7.86
matrix,lfu,69.87,78.98,99.42,9.97
matrix,random,78.87,96.25,95.37,6.89
bfs,lru,83.32,6.20,0.00,42.91
bfs,fifo,83.15,7.19,0.00,42.93
bfs,lfu,83.17,7.05,0.00,42.93
bfs,random,83.35,6.06,0.00,42.91
sort,lru,99.98,0.00,0.00,4.04
sort,fifo,99.98,0.00,0.00,4.04
sort,lfu,99.98,0.00,0.00,4.04
sort,random,99.98,0.00,0.00,4.04
pointer,lru,2.71,2.86,42.67,158.05
pointer,fifo,2.72,2.90,44.47,154.59
pointer,lfu,3.21,5.37,52.59,135.43
pointer,random,2.72,3.66,43.88,154.59
bfs_large,lru,79.61,63.03,55.66,15.84
bfs_large,fifo,77.52,52.11,68.95,17.26
bfs_large,lfu,61.46,84.51,44.02,17.46
bfs_large,random,77.37,54.60,67.48,17.10
