policy,trial,amat
lru,1,7.11
lru,2,7.11
lru,3,7.11
lru,4,7.11
lru,5,7.11
lru,6,7.11
lru,7,7.11
lru,8,7.11
lru,9,7.11
lru,10,7.11
fifo,1,7.16
fifo,2,7.16
fifo,3,7.16
fifo,4,7.16
fifo,5,7.16
fifo,6,7.16
fifo,7,7.16
fifo,8,7.16
fifo,9,7.16
fifo,10,7.16
lfu,1,7.70
lfu,2,7.70
lfu,3,7.70
lfu,4,7.70
lfu,5,7.70
lfu,6,7.70
lfu,7,7.70
lfu,8,7.70
lfu,9,7.70
lfu,10,7.70
random,1,6.62
random,2,6.62
random,3,6.62
random,4,6.62
random,5,6.62
random,6,6.62
random,7,6.62
random,8,6.62
random,9,6.62
random,10,6.62
